	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
134	Hazelcast	82713	5	['nosql', 'java', 'multithreading', 'hazelcast', 'concurrency']	stanbul, Turkey	no	no	Software Engineer	Istanbul	['engineer', 'software']	yes
135	Hazelcast	88406	3	['spring', 'java', 'hibernate']	Ankara, Turkey	no	no	Software Engineer	Ankara, Turkey	['engineer', 'software']	yes
136	CoStar_Group	88169	2	['android', 'sdk']	Los Angeles, CA	yes	no	Senior Android Developer		['android', 'development', 'senior']	yes
137	EnerNOC	85787	5	['javascript', 'scala', 'web', 'restful', 'akka']	Boston, MA	yes	no	Principal Software Engineer		['engineer', 'principal', 'software']	yes
138	Hazelcast	83363	5	['java', 'nosql', 'multithreading', 'network programming', 'distributed computing']	Chicago, IL	no	yes	Senior Solutions Architect	Central Region - US	['architect', 'senior']	yes
139	Drooms	75051	3	['c++11', 'stl', 'qt']	Frankfurt am Main, Deutschland	no	no	Software Developer C++	f/m	['development', 'software']	yes
140	STX_Next	83906	5	['python', 'django', 'pyramid', 'google app engine', 'plone']	Wrocaw, Polska	no	no	Senior Python Developer		['development', 'python', 'senior']	yes
141	CK12_Foundation	81138	5	['javascript', 'jquery', 'html5', 'backbone.js', 'responsive design']	Palo Alto, CA	no	no	Disruptive EdTech team looking for Front-End developer		['development', 'front_end']	yes
142	Amazon	87398	5	['coding', 'in', 'c', 'c++', 'java']	Irvine, CA	yes	yes	Mobile Development Engineer		['development', 'engineer']	yes
143	GoldStar_Learning	81170	5	['ruby', 'python', 'postgresql', 'ruby on rails', 'amazon web services']	Chicago, IL	yes	no	Senior Full Stack Web Developers	Ruby	['development', 'full_stack', 'ruby', 'senior', 'web']	yes
144	TheAmazeApp	87894	4	['java', 'spring', 'node.js', 'devops']	Kln, Deutschland	no	no	Backend Engineer		['back_end', 'engineer']	yes
145	DomainTools	86072	5	['angularjs', 'php', 'mysql', 'javascript', 'jquery']	Seattle, WA	no	no	Full-Stack Software Engineer	Big Data, Cybersecurity	['data', 'engineer', 'full_stack', 'software']	yes
146	Apcera	84908	5	['cryptographic', 'authentication', 'go', 'cc++', 'java']	San Francisco, CA	no	no	Principal Software Engineer / Architect	Core Security	['architect', 'engineer', 'principal', 'security', 'software']	yes
147	Hobsons	88359	5	['java', 'restful', 'spring', 'mongodb', 'amazon web services']	Arlington, VA	no	no	Sr. JAVA Software Engineer		['engineer', 'java', 'senior', 'software']	yes
148	EnergySavvy	74323	4	['python', 'ruby on rails', 'java', 'mercurial']	Seattle, WA	yes	no	Software Engineer	Cleantech Startup	['engineer', 'software', 'startup']	yes
149	NWEA	86337	0	[]	Portland, OR	no	no	Director	Professional Development Curriculum Design and Development	['development', 'director']	yes
150	University_of_Oxford	87902	6	['php', 'hrml5', 'css', 'javascript', 'sql', 'sysadmin']	Oxford, UK	no	no	Database Programmer and Developer		['database', 'development', 'programmer']	yes
151	Capital_One	83671	3	['t sql', 'java', 'c#']	Seattle, WA	no	no	Senior Java Developer		['development', 'java', 'senior']	yes
152	Helpling	86038	5	['ab testing', 'mvt', 'google analytics', 'optimizely', 'jira']	Berlin, Deutschland	no	no	Conversion Rate Optimization Manager	m/f	['manager']	yes
153	AvatarFleet	85602	5	['php', 'sql', 'linux', 'git', 'svn']	Macedonia, OH	no	no	Software Developer  Reports to Chief Technology Officer		['development', 'software', 'technology']	yes
154	Adobe_Systems	86975	4	['elastic', 'elasticsearch', 'scripting', 'bigdata']	San Francisco, CA	no	no	Search Lead Engineer/Scientist		['engineer', 'lead', 'search']	yes
155	Experian_Malaysia	85749	5	['c#', 'mssql', 'highvolumedata', 'architecture', 'web']	Cyberjaya, Malaysia	yes	no	Senior / Software Architect		['architect', 'senior', 'software']	yes
156	FreeAgent	79792	5	['ruby on rails', 'mysql', 'reactjs', 'elasticsearch', 'rabbitmq']	Edinburgh, UK	yes	yes	Software Engineering opportunities at FreeAgent		['engineer', 'software']	yes
157	Cox_Media_Group	81022	5	['.net', 'sql', 'c#', 'alm', 'agile']	Atlanta, GA	no	no	.NET Software Engineer		['engineer', 'software']	yes
158	NAVIS	87613	5	['design patterns', 'open source', 'clojure', 'functional programming', 'scala']	Bend, OR	yes	no	Software Engineer	Functional Programming - Multiple Positions & Levels	['engineer', 'software']	yes
159	1StudentBody	84065	5	['ios', 'android', 'objective c', 'swift', 'java']	Redwood City, CA	no	no	Mobile Engineer	iOS/Android	['engineer']	yes
160	Recruitics	86808	5	['sql', 'c#', 'java', 'ruby', 'stored procedures']	New York, NY	no	no	Lead Software Engineer	Core Platform	['engineer', 'lead', 'software']	yes
161	EdgeWave	88207	5	['unix', 'linux', 'wan', 'vpn', 'ip']	San Diego, CA	no	no	Sr. Network Operations Engineer		['engineer', 'network', 'operations', 'senior']	yes
162	UCLA	88203	4	['sql', 'asp', 'css', 'javascript']	Los Angeles, CA	no	no	Web Developer		['development', 'web']	yes
163	DTU_Biosustain	88008	5	['python', 'javascript', 'angularjs', 'html5', 'bioinformatics']	Copenhagen, Denmark	yes	no	Web Developer for synthetic biology research platform		['development', 'research', 'web']	yes
164	SpotMe	87192	5	['node.js', 'angularjs', 'couchdb', 'javascript', 'mobile']	Chicago, IL	no	no	Full Stack Web Developer		['development', 'full_stack', 'web']	yes
